,nct_id,start_date,phase,./eligibility/gender,./eligibility/minimum_age,./eligibility/maximum_age,./eligibility/criteria/textblock
20,NCT00002547,Aug-87,Phase 2,All,N/A,60 Years,"['DISEASE CHARACTERISTICS: The following hematologic malignancies are eligible: Acute\r\n        nonlymphocytic leukemia in one of the following categories: In complete remission In early\r\n        relapse Newly diagnosed FAB types M6 and M7 Myelodysplastic syndromes including: Refractory\r\n        anemia with excessive blasts Refractory anemia with excessive blasts in transformation\r\n        Chronic myelomonocytic leukemia Secondary acute myeloid leukemia Transplantation priority\r\n        given in decreasing order of: First remission Second remission Third remission Early\r\n        relapse, with priority further reduced for: Refractory response to platelet transfusion\r\n        Severe infection within 6 weeks prior to referral History of major organ pathology or\r\n        insult (hepatitis, renal damage, pulmonary disease, cystitis, etc.) CNS disease allowed but\r\n        priority status for transplantation lowered Donor Criteria: Sibling or matched\r\n        related/unrelated donor required Donor priority as follows: Monozygotic twin Genotypical or\r\n        phenotypical HLA-A, -B, -C, and -D match Match at any 2 loci (A, B, Dr) on the other\r\n        haplotype ABO-compatible donor preferred Marrow processed to eliminate mismatched\r\n        erythrocytes if ABO incompatible In case of multiple donors, priority is: ABO compatibility\r\n        Age over 18 Same sex No physiologic, psychologic, or medical contraindication to donation\r\n        procedure No increased anesthetic risk due to pre-existing illness HIV negative\r\n\r\n        ', 'Age: 6 months to 60 years ', 'Performance status: No preterminal or\r\n        moribund patients ', 'Life expectancy: No severe limits on life expectancy due to diseases\r\n        other than leukemia ', 'Hematopoietic: See Disease Characteristics ', 'Hepatic: Bilirubin no\r\n        greater than 2.0 mg/dL Transaminases no greater than 3 times normal No severe hepatic\r\n        disease ', 'Renal: Creatinine no greater than 1.5 mg/dL OR Creatinine clearance at least 60\r\n        mL/min No severe renal disease No history of severe cystitis with cyclophosphamide\r\n        ', 'Cardiovascular: LVEF at least 50% No symptomatic cardiac disease ', 'Pulmonary: FEV1 and FVC at\r\n        least 75% of normal No severe pulmonary disease ', 'Other: HIV negative No severe personality\r\n        disorder or severe mental illness No condition (such as substance abuse) that would\r\n        markedly increase the morbidity and mortality of transplantation Criteria of hepatic,\r\n        renal, cardiac, and pulmonary function and mental illness are used only for initial\r\n        screening of potential candidates; patients who do not meet these criteria may still be\r\n        eligible at the discretion of the transplant team\r\n\r\n        ', 'PRIOR CONCURRENT THERAPY: See Disease Characteristics\r\n      ']"
179,NCT01177371,Mar-88,Phase 2,All,N/A,N/A,"['\n        Criteria', '          -  Acute non-lymphocytic leukemia (FAB types M1-M7) in first, or second remission, or\r\n             early first or second bone or marrow relapse (>31% marrow blasts and no circulating\r\n             peripheral blasts)', '          -  All patients with acute promyelocytic leukemia in first complete remission who have\r\n             received retinoic acid and chemotherapy are not eligible', '          -  Acute lymphocytic leukemia in first or second remission, or early first or second bone\r\n             marrow relapse (31% marrow blasts and no circulating peripheral blasts)', '          -  Pediatric ALL patients in first complete remission are not eligible', '          -  Chronic myelogenous leukemia in first or second chronic phase, or accelerated phase', '          -  Myelodysplastic syndrome =< 50 years', '          -  Lymphoma patients age =< 50 years (non Hodgkins or Hodgkins) in first or second\r\n             relapse, or refractory disease, who are ineligible for autologous bone marrow\r\n             transplantation because of tumor in the bone marrow', '          -  Multiple myeloma patients age =< 50 who have relapsed or are refractory to at least 2\r\n             chemo-radiation or chemotherapy regimens', '          -  Patients who have failed a previous allogeneic bone marrow transplant', '          -  Patients with inborn errors of metabolism', '          -  ECOG performance status of 0 or 1', '          -  Karnofsky performance status of >= 70%', '          -  Patients must be HTLV-III (HIV) anti-body negative', '          -  Acute and chronic leukemia patients must be age =< 50 years; patients up to age 60\r\n             years for any of these diseases who have a syngeneic donor are eligible', '          -  Patients (or bone marrow donors) who are HTLV-III (HIV) antibody positive are\r\n             ineligible for this study', '          -  Patients must not have active infection', '          -  Patients must not have cytotoxic chemotherapeutic agents for at least 4 weeks before\r\n             the transplant conditioning regimen is to begin', '          -  It is recommended but not required that acute leukemia patients undergoing\r\n             transplantation in first remission must have received at least one course of\r\n             consolidation therapy', '          -  Patients undergoing transplant in early relapse are eligible for transplant in first\r\n             and second relapse only', '          -  Patients must have no history of acute myocardial infarction in the 6 months prior to\r\n             transplantation, angina pectoris requiring nitrate therapy, uncontrolled major\r\n             ventricular dysrhythmia, uncontrolled hypertension, or uncontrolled congestive heart\r\n             failure', '          -  A gated-pool radionuclide scan fraction must be >= 50%', '          -  Serum creatinine must be =< 1.8% and a 24 hour creatinine clearance must be >=\r\n             60ml/min', '          -  Serum direct bilirubin >= 1.8mg%, or serum SGOT or SGPT > twice normal will exclude\r\n             patients from this study', '          -  Severe symptomatic CNS disease of any etiology other than CNS leukemia will exclude\r\n             patients from study', '          -  FEV1 and DLco (corrected) must be >= 60% of normal', '          -  pO2 > 60mmHg', '          -  Insulin-dependent diabetes mellitus or uncompensated major thyroid or adrenal\r\n             dysfunction render patients ineligible', '          -  Written informed consent must be obtained', '          -  Patients treated previously with radiation therapy in excess of 1000 cGy (rads) to any\r\n             thoracic or abdominal port, or in excess of 3000 cGy (rads) to cranial-spinal ports,\r\n             who are not eligible for other protocols are eligible for this study', '          -  DONOR: All genotypically HLA- or D/DR identical siblings are eligible to be bone\r\n             marrow donors so long as their general medical condition permits the safe use of\r\n             general or spinal anesthesia; selected donors who are not HLA-identical may be\r\n             considered for use as long as they are D/DR identical, MLC compatible, and are in good\r\n             condition to safely undergo spinal or general anesthesia', '          -  DONOR: This protocol will allow the use of donors who are unrelated but are HLA-A, b,\r\n             C, D/Dr identical and MLC (mixed lymphocyte culture) compatible', '          -  Patient must have adequate insurance to cover the cost of the transplant and\r\n             hospitalization\r\n      ']"
128,NCT00002471,Feb-90,Phase 2,All,N/A,N/A,"[""DISEASE CHARACTERISTICS: Newly diagnosed undifferentiated nonlymphoblastic non-Hodgkin's\r\n        lymphoma (Burkitt's or non-Burkitt's) Newly diagnosed large cell lymphoma with CNS\r\n        involvement Recurrent non-Hodgkin's lymphoma L-3 and B-cell leukemia included At least 1 of\r\n        the following required: LDH at least 500 IU/liter (old method) or 2,000 IU/liter (new\r\n        method) Bone marrow involvement (greater than 5% lymphoblasts) CNS involvement\r\n        (lymphoblasts on CSF cytospin or intracranial mass on CT or MRI scan)\r\n\r\n        "", 'Age: Any age ', 'Performance status: Not specified ', 'Hematopoietic: Not\r\n        specified ', 'Hepatic: Not specified ', 'Renal: Not specified\r\n\r\n        ', ""PRIOR CONCURRENT THERAPY: Prior therapy allowed for non-Hodgkin's lymphoma No prior therapy\r\n        for all other diseases\r\n      ""]"
159,NCT00002502,Jul-92,Phase 2,All,N/A,55 Years,"[""DISEASE CHARACTERISTICS: Primary or secondary acute nonlymphocytic leukemia and acute\r\n        lymphocytic leukemia in one of the following states: First or greater remission Early\r\n        relapse Chronic myelogenous leukemia (CML) in one of the following states: First or greater\r\n        chronic phase Treatment on this protocol is preferred to total body irradiation containing\r\n        protocols for patients under 40 with CML in stable first chronic phase who are otherwise\r\n        eligible for allogeneic bone marrow transplantation Accelerated phase Myeloid or lymphoid\r\n        blast crisis Myelodysplastic syndromes of the following types: Refractory anemia Refractory\r\n        anemia with ringed sideroblasts Refractory anemia with excess blasts Chronic myelomonocytic\r\n        leukemia Multiple myeloma Non-Hodgkin's lymphoma HLA identical bone marrow donor available\r\n        Unable to undergo total body irradiation because of one of the following reasons: Under age\r\n        2 (CNS still growing and at high risk of permanent radiation injury) Prior high dose\r\n        radiotherapy to the brain, lungs, heart, liver, or abdomen In relapse following allogeneic\r\n        or autologous transplant using total body irradiation for ablation, but eligible for a\r\n        second transplant No current CNS involvement\r\n\r\n        "", 'Age: 50 and under (patients aged 51-55 accrued on a case-by-case\r\n        basis after discussion and approval by the BMT service) ', 'Performance status: Karnofsky\r\n        70-100% ', 'Life expectancy: Greater than 8 weeks ', 'Hematopoietic: Not specified ', 'Hepatic:\r\n        Bilirubin less than 1.5 mg/dL AST no greater than 3 times normal Neither value increasing\r\n        for at least 2-4 weeks prior to transplant ', 'Renal: Creatinine less than 2 times normal and\r\n        not rising for at least 2-4 weeks prior to transplant OR Creatinine clearance greater than\r\n        80 mL/min ', 'Cardiovascular: Left ventricular ejection fraction at least 50% Cardiac function\r\n        good ', 'Pulmonary: No severe restrictive lung disease No chronic obstructive pulmonary disease\r\n        ', 'Other: No active viral or bacterial infection at transplant No coexisting medical problem\r\n        that would significantly increase the risk of the transplant procedure Not pregnant\r\n\r\n        ', 'PRIOR CONCURRENT THERAPY: Prior therapy allowed, including prior bone marrow transplant\r\n      ']"
150,NCT00018954,Oct-92,Phase 2,All,N/A,N/A,"['  Newly diagnosed acute lymphoblastic leukemia (ALL)\r\n\r\n               -  Lymphoblasts comprising more than 25% of nucleated cells on bone marrow aspirate\r\n\r\n                    -  Associated with an appropriate clinical syndrome', '  OR', ""  Histologically proven newly diagnosed diffuse non-Hodgkin's lymphoma (NHL)"", '  Immunologic and/or cytochemical confirmation of diagnosis preferred\r\n\r\n        ', 'Age:\r\n\r\n          -  ALL:\r\n\r\n               -  Under 25\r\n\r\n          -  NHL:\r\n\r\n               -  Not specified\r\n\r\n        ', 'Performance status:\r\n\r\n          -  Not specified\r\n\r\n        ', 'Life expectancy:\r\n\r\n          -  Not specified\r\n\r\n        ', 'Hematopoietic:\r\n\r\n          -  Not specified\r\n\r\n        ', 'Hepatic:\r\n\r\n          -  Not specified\r\n\r\n        ', 'Renal:\r\n\r\n          -  Not specified\r\n\r\n        ', 'Biologic therapy\r\n\r\n          -  Not specified\r\n\r\n        ', 'Chemotherapy\r\n\r\n          -  Not specified\r\n\r\n        ', 'Endocrine therapy\r\n\r\n          -  Not specified\r\n\r\n        ', 'Radiotherapy\r\n\r\n          -  Not specified\r\n\r\n        ', 'Surgery\r\n\r\n          -  Not specified\r\n\r\n        ', 'Other\r\n\r\n          -  No prior therapy for ALL or NHL\r\n      ']"
98,NCT00002534,May-93,Phase 3,All,N/A,N/A,"['DISEASE CHARACTERISTICS: Acute leukemias in the following categories: Histologically\r\n        documented ANLL in first remission (CR1) or second remission (CR2) Pediatric ANLL patients\r\n        in CR1 eligible provided they are not enrolled on protocol CCG-2891 ALL in CR1 presenting\r\n        with at least 1 of the following high-risk features: WBC at presentation greater than\r\n        50,000/mm3 (200,000/mm3 in pediatric patients) Hypoploidy as measured by flow cytometry\r\n        Pseudodiploidy with translocations t(9;22), t(4;11), and t(8;14) CR not achieved until\r\n        after 4 weeks of induction therapy ALL in CR2 that has relapsed in the bone marrow\r\n        following a first remission regardless of time of relapse Acute biphenotypic leukemia\r\n        (mixed myeloid and lymphoid lineage at presentation) in CR1 or CR2, i.e., patients\r\n        classified as lymphoblastic or myeloblastic based on FAB morphology and histochemistry\r\n        features Adult acute undifferentiated leukemia (no evidence of lymphoid or myeloid\r\n        differentiation) and in CR1 or CR2 Patients in this category are analyzed separately CR\r\n        defined as no evidence of leukemia at time of transplantation as documented by\r\n        normocellular bone marrow aspirate containing no more than 5% blasts no more than 2 weeks\r\n        prior to cytoreduction Normal diagnostic LP or Ommaya reservoir tap required no more than 2\r\n        weeks prior to start of cytoreduction in all ALL patients and in ANLL patients at risk for\r\n        CNS disease No extramedullary disease at time of transplantation HLA-identical,\r\n        MLC-compatible related donor required Donor must be healthy and willing to undergo general\r\n        anesthesia and donation procedure For T-cell depletion, donor should be able to have a\r\n        volume of 15 ml/kg patient body weight harvested safely\r\n\r\n        ', 'Age: Any age (5 to 55 to be eligible for randomization)\r\n        ', 'Performance status: Karnofsky (or Lansky) 70-100% ', 'Life expectancy: Greater than 8 weeks\r\n        ', 'Hematopoietic: See Disease Characteristics ', 'Hepatic: Bilirubin less than 1.5 mg/dl SGOT no\r\n        greater than 3 times upper limit of normal (ULN) (both parameters stable for at least 4\r\n        weeks prior to transplantation) ', 'Renal: Creatinine less than 2 times ULN and stable for at\r\n        least 4 weeks prior to transplantation OR Creatinine clearance at least 70 mL/min\r\n        ', 'Cardiovascular: Fractional shortening greater than 28% on echocardiogram (23-28% if FS\r\n        increases as a response to stress on supine bicycle ergometer) LVEF at least 50% on\r\n        echocardiogram or MUGA ', 'Other: In good clinical condition at time of transplantation with no\r\n        medical problems that would significantly increase the risk of the procedure No infection\r\n        at time of transplantation Not pregnant or nursing\r\n\r\n        ', 'PRIOR CONCURRENT THERAPY: See Disease Characteristics\r\n      ']"
44,NCT00002609,Aug-94,Phase 2,All,12 Years,N/A,"['DISEASE CHARACTERISTICS: Pathologically confirmed acute promyelocytic leukemia in one of\r\n        the following categories: First complete remission following induction retinoids First\r\n        complete remission following induction chemotherapy and not eligible for additional\r\n        consolidation chemotherapy Second or subsequent remission following induction retinoids or\r\n        chemotherapy Clinically complete remission following consolidation chemotherapy and:\r\n        Detectable minimal residual disease by reverse transcription-polymerase chain reaction\r\n        (RT-PCR) assay Not eligible for bone marrow transplant Molecular remission (i.e., negative\r\n        RT-PCR assay) with subsequent evidence of early molecular relapse (i.e., normal peripheral\r\n        blood counts, normal bone marrow morphology, and positive RT-PCR assay)\r\n\r\n        ', 'Age: 12 and over ', 'Performance status: Not specified Life\r\n        expectancy: Greater than 4 weeks ', 'Hematopoietic: See Disease Characteristics ', 'Hepatic:\r\n        Bilirubin no greater than 2.5 mg/dL AST no greater than 4 times normal Alkaline phosphatase\r\n        no greater than 4 times normal ', 'Renal: Creatinine no greater than 2.5 mg/dL ', 'Cardiovascular:\r\n        (Patients receiving idarubicin and cytarabine only) No history of cardiac disease OR Left\r\n        ventricular ejection fraction greater than 50% by MUGA or echocardiogram ', 'Other: No\r\n        uncontrolled serious infection HIV negative No active second malignancy except basal cell\r\n        carcinoma Not pregnant or nursing Negative pregnancy test Fertile women must use effective\r\n        contraception\r\n\r\n        ', 'Biologic therapy: No concurrent biologic therapy ', 'Chemotherapy:\r\n        See Disease Characteristics Retinoid therapy to continue until 30 days past complete\r\n        remission No other concurrent chemotherapy At least 3 weeks since any cytotoxic\r\n        chemotherapy and recovered ', 'Endocrine therapy: Not specified ', 'Radiotherapy: At least 3 weeks\r\n        since any radiotherapy and recovered No concurrent radiotherapy ', 'Surgery: Not specified\r\n      ']"
43,NCT00002621,Dec-94,Phase 2,All,N/A,21 Years,"[""  Histologically proven malignancy diagnosed at any time following confirmation of\r\n             HIV-positivity, including the following:\r\n\r\n               -  Leukemia\r\n\r\n               -  Non-Hodgkin's lymphoma\r\n\r\n               -  CNS lymphoma\r\n\r\n               -  Other solid tumors"", '  Measurable disease', '  Concurrent registration on protocol POG-9182 required\r\n\r\n               -  Confirmed HIV-positive by POG-9182 criteria\r\n\r\n               -  Required biology studies completed\r\n\r\n        ', 'Age:\r\n\r\n          -  21 and under\r\n\r\n        ', 'Performance status:\r\n\r\n          -  Not specified\r\n\r\n        ', 'Life expectancy:\r\n\r\n          -  More than 4 weeks\r\n\r\n        ', 'Hematopoietic:\r\n\r\n          -  Absolute neutrophil count at least 1,000/mm^3\r\n\r\n          -  Platelet count at least 100,000/mm^3 (unless bone marrow involvement present)\r\n\r\n        ', 'Hepatic:\r\n\r\n          -  See Disease Characteristics\r\n\r\n          -  Bilirubin less than 1.5 times normal\r\n\r\n          -  SGPT and SGOT less than 2 times normal (may discuss with Study Coordinator)\r\n\r\n        ', 'Renal:\r\n\r\n          -  Creatinine less than 1.5 mg/dL\r\n\r\n        ', 'Cardiovascular:\r\n\r\n          -  Adequate cardiac function by echocardiogram/MUGA scan\r\n\r\n        ', 'Other:\r\n\r\n          -  Chronically infected patients must be stable enough to meet life expectancy\r\n             requirement\r\n\r\n        ', 'Biologic therapy:\r\n\r\n          -  No prior interferon for cancer\r\n\r\n          -  Prior interferon alfa for viral infections (i.e., hepatitis) must be discussed with\r\n             Study Coordinator\r\n\r\n        ', 'Chemotherapy:\r\n\r\n          -  At least 1 week since prior chemotherapy\r\n\r\n        ', 'Endocrine therapy:\r\n\r\n          -  Not specified\r\n\r\n        ', 'Radiotherapy:\r\n\r\n          -  At least 1 week since prior radiotherapy\r\n\r\n        ', 'Surgery:\r\n\r\n          -  Not specified\r\n\r\n        ', 'Other:\r\n\r\n          -  Prior antiretroviral therapy allowed\r\n\r\n          -  At least 1 week since prior acute treatment for any serious or life-threatening\r\n             infection\r\n\r\n          -  No concurrent local treatment unless discussed with the Study Coordinator\r\n\r\n          -  No concurrent acute treatment for any serious or life-threatening infection\r\n\r\n          -  Concurrent antiretroviral therapy allowed\r\n      ']"
183,NCT00002638,Mar-95,Phase 2,All,1 Year,19 Years,"['  Diagnosis of acute lymphoblastic leukemia\r\n\r\n               -  Pathologic evidence of relapse in marrow, CNS, or testes\r\n\r\n               -  In second or later complete remission', '  Ineligible for allogeneic transplantation:\r\n\r\n               -  No suitable allogeneic donor (sibling or family donor or unrelated donor with no\r\n                  more than 1 HLA-A or -B antigen mismatch and HLA-DR identical) OR\r\n\r\n               -  Ineligible for preparative regimen including total-body irradiation', '  Peripheral blood stem cell collection feasible:\r\n\r\n               -  Patient size generally at least 8 kg\r\n\r\n               -  Able to place central venous catheter\r\n\r\n               -  Patient cooperative\r\n\r\n        ', 'Age:\r\n\r\n          -  1 to 19\r\n\r\n        ', 'Performance status:\r\n\r\n          -  Not moribund\r\n\r\n        ', 'Life expectancy:\r\n\r\n          -  No severe limits from disease other than leukemia\r\n\r\n        ', 'Hepatic:\r\n\r\n          -  Bilirubin no greater than 3 times normal for age\r\n\r\n          -  AST and/or GGT no greater than 3 times normal for age\r\n\r\n          -  No evidence of hepatic synthetic dysfunction\r\n\r\n        ', 'Renal:\r\n\r\n          -  GFR at least 50% of normal based on Glofil study or 12-hour creatinine clearance\r\n\r\n        ', 'Cardiovascular:\r\n\r\n          -  Cardiac contractility normal on echocardiogram\r\n\r\n        ', 'Pulmonary:\r\n\r\n          -  FVC and FEV_1 with or without DLCO at least 50% predicted\r\n\r\n        ', 'Other:\r\n\r\n          -  No significant active infection\r\n\r\n          -  HIV negative\r\n\r\n        ', 'Biologic therapy\r\n\r\n          -  See Disease Characteristics\r\n\r\n        ', 'Chemotherapy\r\n\r\n          -  See Disease Characteristics\r\n\r\n        ', 'Endocrine therapy\r\n\r\n          -  Not specified\r\n\r\n        ', 'Radiotherapy\r\n\r\n          -  See Disease Characteristics\r\n\r\n        ', 'Surgery\r\n\r\n          -  Not specified\r\n      ']"
11,NCT00002961,Oct-95,Phase 3,All,N/A,21 Years,"['DISEASE CHARACTERISTICS: Histologically confirmed childhood acute lymphoblastic leukemia\r\n        (ALL) in second hematologic remission or greater who have relapsed: On therapy OR Within\r\n        one year of discontinuation of therapy OR Greater than 1 year from discontinuation of high\r\n        risk intensive therapy (matched sibling donor only) Patients with central nervous system or\r\n        testicular relapse: Occurred within 18 months of diagnosis OR Following prophylactic or\r\n        therapeutic cranial irradiation T cell disease with isolated central nervous system (CNS)\r\n        or bone marrow relapse at any time Patients in first remission with greater than 4 weeks to\r\n        achieve remission or with high risk features such as: t(4,11) t(9,22) Hypodiploidy Patients\r\n        under 12 months of age in first remission with any of the following features at diagnosis:\r\n        CALLA (CD10) negative white blood count (WBC) at least 100,000/mm3 Day 14 M2 or M3 bone\r\n        marrow CNS disease\r\n\r\n        ', 'Age: 21 and under ', 'Performance status: Not specified Life\r\n        expectancy: Not specified ', 'Hematopoietic: Not specified ', 'Hepatic: No active hepatitis B or C\r\n        Bilirubin no greater than 1.5 times normal Alanine aminotransferase (ALT) or aspartate\r\n        aminotransferase (AST) less than 2.5 times normal ', 'Renal: Creatinine no greater than 1.5\r\n        times normal OR Creatinine clearance at least 65 mL/min ', 'Cardiovascular: Shortening fraction\r\n        greater than 27% by echocardiogram OR Ejection fraction greater than 47% by radionuclide\r\n        angiogram ', 'Pulmonary: [1] forced expiratory volume at one second (FEV1)/forced vital\r\n        capacity (FVC) greater than 60% For uncooperative children: No evidence of dyspnea at rest\r\n        No exercise intolerance Pulse oximetry greater than 94% ', ""Other: No active infection No\r\n        occult untreated infection HIV negative Not eligible for Children's Cancer Group (CCG) or\r\n        Pediatric Oncology Group (POG) transplant study Donor criteria: Genotypically matched\r\n        sibling or phenotypically matched family member (bone marrow or peripheral blood stem cells\r\n        may be used) One antigen mismatched related donor Matched or one antigen mismatched\r\n        unrelated donor Cord blood (genotypic or phenotypic match or one antigen mismatch) Matched\r\n        sibling or phenotypically matched family member peripheral stem cells\r\n\r\n        "", 'Biologic therapy: Not specified ', 'Chemotherapy: Not specified\r\n        ', 'Endocrine therapy: Not specified ', 'Radiotherapy: Not specified ', 'Surgery: Not specified\r\n      ']"
